,物件名,住所,最寄駅,築年数,価格,利回り,戸数,構造,建物面積,土地面積
77,※熊谷市、ファミリータイプOC、2015年室内リフォーム済,"
      埼玉県熊谷市上之    ",JR高崎線 熊谷駅 徒歩24分,"
      1990年12月（築33年）          ","
              1100万円            ","
              8.94%            ",,RC造,"
      65.90㎡      (16.7万円/㎡)    ", 
78,Fコーポ,"
      埼玉県川口市大字小谷場436    ",JR武蔵野線 南浦和駅 徒歩17分,1987年11月（築36年）,"
              5000万円            ","
              5.18%            ",4戸,木造,"
      135.80㎡      (36.9万円/㎡)    ","
      153.00㎡      (32.7万円/㎡)    "
79,駅歩10分！新耐震基準！想定満室利回り7.70％！,"
      埼玉県春日部市西金野井    ",東武野田線 南桜井駅 徒歩10分,1989年02月（築34年）,"
              4980万円            ","
              7.70%            ",8戸,木造,"
      192.92㎡      (25.9万円/㎡)    ","
      251.00㎡      (19.9万円/㎡)    "
80,セザール川口朝日町,"
      埼玉県川口市朝日２丁目    ",埼玉高速鉄道 南鳩ヶ谷駅 徒歩9分 他,"
      1988年05月（築35年）          ","
              1580万円            ","
              7.21%            ",29戸,RC造,"
      45.52㎡      (34.8万円/㎡)    ", 
81,埼玉県川口市　区分マンション,"
      埼玉県川口市仲町16    ",JR京浜東北・根岸線 西川口駅 徒歩14分 他,"
      1991年08月（築32年）          ","
              1030万円            ","
              6.40%            ",48戸,SRC造,"
      23.85㎡      (43.2万円/㎡)    ", 
82,■■最上階■バストイレ別■室内リフォーム済■33平米■■,"
      埼玉県ふじみ野市鶴ヶ丘    ",東武東上線 上福岡駅 徒歩18分,"
      1972年05月（築51年）          ","
              250万円            ","
              14.40%            ",30戸,RC造,"
      33.71㎡      (7.5万円/㎡)    ", 
83,吉沢荘,"
      埼玉県所沢市大字上安松274    ",JR武蔵野線 新秋津駅 徒歩12分,1971年06月（築52年）,"
              2480万円            ","
              10.20%            ",8戸,木造,"
      138.74㎡      (17.9万円/㎡)    ","
      152.39㎡      (16.3万円/㎡)    "
84,【荻窪駅徒歩10分】1億以下！40坪！6.73％,"
      東京都杉並区上荻２丁目    ",JR総武・中央緩行線 荻窪駅 徒歩10分,1983年12月（築40年）,"
              9980万円            ","
              6.73%            ",10戸,木造,"
      150.38㎡      (66.4万円/㎡)    ","
      132.78㎡      (75.2万円/㎡)    "
85,新耐震基準！全6戸満室！表面利回り9%！,"
      埼玉県草加市手代１    ",東武伊勢崎・大師線 草加駅 徒歩18分,1988年04月（築35年）,"
              3600万円            ","
              9.00%            ",6戸,木造,"
      124.88㎡      (28.9万円/㎡)    ","
      136.72㎡      (26.4万円/㎡)    "
86,オーゼットローヤル東大宮,"
      埼玉県さいたま市見沼区東大宮5丁目    ",JR東北本線 東大宮駅 徒歩4分,1987年09月（築36年）,"
              3億5500万円            ","
              7.40%            ",62戸,RC造,"
      1198.00㎡      (29.7万円/㎡)    ","
      619.86㎡      (57.3万円/㎡)    "
87,想定満室利回り8.22％！全6戸のコンパクト収益レジデンス！,"
      埼玉県草加市瀬崎３    ",東武伊勢崎・大師線 谷塚駅 徒歩12分,1980年07月（築43年）,"
              4000万円            ","
              8.22%            ",6戸,木造,"
      173.09㎡      (23.2万円/㎡)    ","
      144.94㎡      (27.6万円/㎡)    "
88,埼玉県熊谷一棟アパート2500万12.29％,"
      埼玉県熊谷市伊勢町388    ",JR上越新幹線 熊谷駅 徒歩15分,1980年10月（築43年）,"
              2500万円            ","
              12.28%            ",8戸,木造,"
      115.92㎡      (21.6万円/㎡)    ","
      112.48㎡      (22.3万円/㎡)    "
89,東武伊勢崎線『北越谷』駅徒歩8分・1K×18戸・全戸ロフト付,"
      埼玉県越谷市北越谷3丁目    ",東武伊勢崎・大師線 北越谷駅 徒歩8分,1987年01月（築36年）,"
              7980万円            ","
              9.23%            ",18戸,木造,"
      254.30㎡      (31.4万円/㎡)    ","
      299.86㎡      (26.7万円/㎡)    "
90,駅歩10分！新耐震基準！想定満室利回り8.61％！,"
      埼玉県所沢市若狭４    ",西武池袋・豊島線 狭山ヶ丘駅 徒歩10分,1987年11月（築36年）,"
              3400万円            ","
              8.61%            ",6戸,木造,"
      153.68㎡      (22.2万円/㎡)    ","
      141.00㎡      (24.2万円/㎡)    "
91,平和ハイム,"
      埼玉県新座市新堀２丁目    ",西武池袋・豊島線 東久留米駅 徒歩13分,1989年02月（築34年）,"
              7580万円            ","
              7.43%            ",8戸,軽量鉄骨造,"
      283.24㎡      (26.8万円/㎡)    ","
      314.00㎡      (24.2万円/㎡)    "
92,駅12分！新耐震基準！満室！全4戸コンパクト収益レジデンス！,"
      埼玉県新座市東３    ",東武東上線 志木駅 徒歩12分,1988年04月（築35年）,"
              3200万円            ","
              5.75%            ",4戸,木造,"
      65.42㎡      (49.0万円/㎡)    ","
      62.70㎡      (51.1万円/㎡)    "
93,■■1994年築■43平米賃貸中■バストイレ別■■,"
      埼玉県草加市瀬崎    ",東武伊勢崎・大師線 谷塚駅 徒歩12分,"
      1996年05月（築27年）          ","
              900万円            ","
              9.33%            ",,RC造,"
      43.74㎡      (20.6万円/㎡)    ", 
94,久喜市青毛4丁目　戸建,"
      埼玉県久喜市青毛4    ",東武日光線 幸手駅 徒歩19分 他,1994年02月（築29年）,"
              1380万円            ","
              7.82%            ",,木造,"
      71.63㎡      (19.3万円/㎡)    ","
      139.09㎡      (10.0万円/㎡)    "
95,◆坂戸収益物件 1R・17.98㎡・利回り11.07％◆,"
      埼玉県坂戸市日の出町    ",東武東上線 坂戸駅 徒歩6分,"
      1988年02月（築35年）          ","
              260万円            ","
              11.07%            ",47戸,SRC造,"
      17.98㎡      (14.5万円/㎡)    ", 
96,【賃貸中】【利回り13.09%】【駐車場1台】入間郡毛呂山町,"
      埼玉県入間郡毛呂山町中央3    ",東武越生線 武州長瀬駅 徒歩7分,1970年10月（築53年）,"
              550万円            ","
              13.09%            ",,木造,"
      45.68㎡      (12.1万円/㎡)    ","
      81.00㎡      (6.8万円/㎡)    "
97,賃貸中【利回り10.08%】【北坂戸駅】坂戸市石井,"
      埼玉県坂戸市石井2314    ",東武東上線 北坂戸駅 徒歩20分,1977年08月（築46年）,"
              690万円            ","
              10.00%            ",,木造,"
      54.84㎡      (12.6万円/㎡)    ","
      65.49㎡      (10.6万円/㎡)    "
98,三郷市高州三丁目戸建９棟,"
      埼玉県三郷市高州３丁目    ",JR千代田・常磐緩行線 金町駅 徒歩23分,1971年02月（築52年）,"
              1億3000万円            ","
              3.61%            ",,木造,"
      33.60㎡      (387.0万円/㎡)    ","
      945.51㎡      (13.8万円/㎡)    "
99,コスモ志木,"
      埼玉県志木市幸町１−８−４０    ",東武東上線 志木駅 徒歩9分,"
      1986年07月（築37年）          ","
              3180万円            ",0,248戸,SRC造,"
      59.96㎡      (53.1万円/㎡)    ", 
100,■▢人気の越谷駅徒歩3分■利回り7.8%,"
      埼玉県越谷市赤山町    ",東武伊勢崎・大師線 越谷駅 徒歩3分,"
      1988年06月（築35年）          ","
              600万円            ","
              7.63%            ",45戸,RC造,"
      15.30㎡      (39.3万円/㎡)    ", 
101,上尾市1棟アパート,"
      埼玉県上尾市埼玉県上尾市柏座1丁目    ",JR高崎線 上尾駅 徒歩7分,1984年05月（築39年）,"
              8550万円            ","
              7.00%            ",12戸,RC造,"
      244.10㎡      (35.1万円/㎡)    ","
      193.01㎡      (44.3万円/㎡)    "
102,◆狭山収益物件 1R・17.17㎡・利回り16.8％◆,"
      埼玉県狭山市富士見１丁目    ",西武新宿線 狭山市駅 徒歩3分,"
      1989年08月（築34年）          ","
              250万円            ","
              16.80%            ",31戸,RC造,"
      17.17㎡      (14.6万円/㎡)    ", 
103,（仮称）キャメル鴻巣,"
      埼玉県鴻巣市雷電１丁目    ",JR高崎線 鴻巣駅 徒歩9分,2023年07月,"
              6060万円            ","
              7.42%            ",6戸,木造,"
      173.18㎡      (35.0万円/㎡)    ","
      182.39㎡      (33.3万円/㎡)    "
104,埼玉県大里郡寄居町　　戸建て,"
      埼玉県大里郡寄居町用土2458    ",JR八高線 用土駅 徒歩9分,1980年09月（築43年）,"
              420万円            ",0,,木造,"
      74.70㎡      (5.7万円/㎡)    ","
      120.08㎡      (3.5万円/㎡)    "
105,【敷地250坪！南公道面！】秋津売アパート,"
      東京都清瀬市野塩５丁目    ",西武池袋・豊島線 秋津駅 徒歩10分,1993年01月（築30年）,"
              1億5000万円            ","
              4.72%            ",6戸,木造,"
      484.11㎡      (31.0万円/㎡)    ","
      828.75㎡      (18.1万円/㎡)    "
106,【利回り13％以上】【JR八高線・用土駅】【3Kタイプ】,"
      埼玉県大里郡寄居町用土    ",JR八高線 用土駅 徒歩12分,1981年03月（築42年）,"
              350万円            ","
              13.02%            ",,木造,"
      51.69㎡      (6.8万円/㎡)    ","
      120.35㎡      (3.0万円/㎡)    "
107,朝霞市　全空アパート,"
      埼玉県朝霞市朝志ヶ丘4    ",東武東上線 朝霞台駅 徒歩12分,1981年06月（築42年）,"
              1780万円            ","
              6.74%            ",2戸,木造,"
      23.12㎡      (77.0万円/㎡)    ","
      48.23㎡      (37.0万円/㎡)    "
108,賃貸中！利回り9％以上！西武池袋線・飯能駅！3LDK！,"
      埼玉県所沢市中山    ",西武池袋・豊島線 飯能駅 徒歩21分,1974年06月（築49年）,"
              580万円            ","
              9.93%            ",,木造,"
      89.42㎡      (6.5万円/㎡)    ","
      142.00㎡      (4.1万円/㎡)    "
109,【利回り9％】【東武野田線・南桜井駅】【4DKタイプ】,"
      埼玉県春日部市西金野井    ",東武野田線 南桜井駅 徒歩16分,1981年02月（築42年）,"
              800万円            ","
              9.00%            ",,木造,"
      66.24㎡      (12.1万円/㎡)    ","
      100.03㎡      (8.0万円/㎡)    "
110,※土地建物積算6900万※ファミリータイプ※築浅アパート※,"
      埼玉県入間市大字寺竹571    ",JR八高線 金子駅 徒歩4分,2013年03月（築10年）,"
              5880万円            ","
              7.36%            ",6戸,木造,"
      315.31㎡      (18.7万円/㎡)    ","
      663.79㎡      (8.9万円/㎡)    "
111,賃貸中！利回り9％以上！東武線・東松山駅！3DKタイプ！,"
      埼玉県東松山市松山町    ",東武東上線 東松山駅 徒歩26分,1970年05月（築53年）,"
              680万円            ","
              9.70%            ",,木造,"
      54.65㎡      (12.5万円/㎡)    ","
      231.37㎡      (3.0万円/㎡)    "
112,【利回り10％以上】【埼玉新都市交通・内宿駅】【4LDK】,"
      埼玉県北足立郡伊奈町小針新宿    ",埼玉新都市交通 内宿駅 徒歩9分,1979年04月（築44年）,"
              780万円            ","
              10.46%            ",,木造,"
      83.46㎡      (9.4万円/㎡)    ","
      64.44㎡      (12.2万円/㎡)    "
113,埼玉県大里郡戸建て,"
      埼玉県大里郡寄居町    ",JR八高線 用土駅 徒歩9分,1980年09月（築43年）,"
              420万円            ",0,,木造,"
      74.07㎡      (5.7万円/㎡)    ","
      120.08㎡      (3.5万円/㎡)    "
114,狭山戸建て,"
      埼玉県狭山市大字水野57    ",西武新宿線 入曽駅 徒歩18分,1970年05月（築53年）,"
              525万円            ","
              9.14%            ",,木造,"
      69.87㎡      (7.6万円/㎡)    ","
      73.38㎡      (7.2万円/㎡)    "
115,※東武伊勢崎線姫宮駅徒歩６分！表面利回り14％越え※,"
      埼玉県南埼玉郡宮代町川端４    ",東武伊勢崎・大師線 姫宮駅 徒歩6分,1968年01月（築55年）,"
              480万円            ","
              14.75%            ",,木造,"
      32.26㎡      (14.9万円/㎡)    ","
      85.27㎡      (5.7万円/㎡)    "
116,※築浅S造※利回り7.35%※満室稼働中※,"
      埼玉県鶴ヶ島市大字鶴ヶ丘字駅通１１    ",東武東上線 鶴ヶ島駅 徒歩5分,2017年07月（築6年）,"
              1億5500万円            ","
              7.34%            ",18戸,鉄骨造,"
      460.29㎡      (33.7万円/㎡)    ","
      226.21㎡      (68.6万円/㎡)    "
117,※築16年ＲＣ※暑いぞ熊谷※269.06坪※駐車場戸数分以上,"
      埼玉県熊谷市上之2656    ",JR高崎線 熊谷駅 徒歩24分,2006年03月（築17年）,"
              1億7000万円            ","
              7.13%            ",15戸,SRC造,"
      746.04㎡      (22.8万円/㎡)    ","
      889.46㎡      (19.2万円/㎡)    "
118,久喜市　戸建,"
      埼玉県久喜市菖蒲町三箇    ",JR湘南新宿ライン宇須 白岡駅 バス20分,1979年01月（築44年）,"
              550万円            ",0,,木造,"
      64.53㎡      (8.6万円/㎡)    ","
      97.22㎡      (5.7万円/㎡)    "
119,※利回り11.4%※近隣大型商業施設有※全部屋ファミリー※,"
      埼玉県児玉郡上里町七本木3556    ",JR高崎線 神保原駅 徒歩19分,1997年05月（築26年）,"
              4850万円            ","
              11.40%            ",10戸,木造,"
      512.00㎡      (9.5万円/㎡)    ","
      991.76㎡      (4.9万円/㎡)    "
120,※利回り7.32%※角地※築浅アパート※,"
      埼玉県入間市大字下藤沢558    ",西武池袋・豊島線 武蔵藤沢駅 徒歩9分 他,2018年11月（築5年）,"
              1億1000万円            ","
              7.32%            ",12戸,木造,"
      289.08㎡      (38.1万円/㎡)    ","
      182.12㎡      (60.4万円/㎡)    "
121,【高稼働】北越谷～駅チカ8分！利回り9%以上！外壁塗装済！,"
      埼玉県越谷市北越谷    ",東武伊勢崎・大師線 北越谷駅 徒歩8分,1987年01月（築36年）,"
              7980万円            ","
              9.23%            ",18戸,木造,"
      254.30㎡      (31.4万円/㎡)    ","
      299.86㎡      (26.7万円/㎡)    "
122,埼玉県川口市　区分マンション,"
      埼玉県川口市川口市西川口２丁目    ",JR京浜東北・根岸線 西川口駅 徒歩9分,"
      2017年12月（築6年）          ","
              1850万円            ","
              5.05%            ",41戸,RC造,"
      22.20㎡      (83.4万円/㎡)    ", 
123,※駅徒歩3分※越谷市新築※2023年3月完成予定※,"
      埼玉県越谷市大字袋山    ",東武伊勢崎・大師線 大袋駅 徒歩3分,2023年03月,"
              1億8900万円            ","
              6.00%            ",15戸,木造,"
      354.00㎡      (53.4万円/㎡)    ","
      255.23㎡      (74.1万円/㎡)    "
124,※北越谷駅徒歩8分※賃貸併用住宅としても※平成18年築※,"
      埼玉県越谷市大字大房715    ",東武伊勢崎・大師線 北越谷駅 徒歩8分,2006年03月（築17年）,"
              9600万円            ","
              6.83%            ",9戸,軽量鉄骨造,"
      308.45㎡      (31.2万円/㎡)    ","
      234.61㎡      (41.0万円/㎡)    "
125,熊谷市　バルク　区分,"
      埼玉県熊谷市弥生1丁目    ",JR埼京線 北与野駅 徒歩8分,"
      1988年08月（築35年）          ","
              500万円            ",0,,RC造,"
      14.74㎡      (34.0万円/㎡)    ", 
126,想定利回り20.38％！戸建付きアパート　土地333坪,"
      千葉県茂原市綱島    ",JR外房線 茂原駅 バス9分,1986年09月（築37年）,"
              3500万円            ","
              20.38%            ",21戸,木造,"
      466.50㎡      (7.6万円/㎡)    ","
      1103.72㎡      (3.2万円/㎡)    "
127,【CIS】JR宇都宮線「久喜」駅　一棟収益売アパート,"
      埼玉県久喜市南1丁目    ",JR湘南新宿ライン宇須 久喜駅 徒歩6分,2018年03月（築5年）,"
              2億6500万円            ","
              7.03%            ",30戸,鉄骨造,"
      584.82㎡      (45.4万円/㎡)    ","
      396.00㎡      (67.0万円/㎡)    "
128,春日部市　戸建,"
      埼玉県春日部市薄谷148-9、-10、    ",東武伊勢崎・大師線 一ノ割駅 徒歩22分,1970年05月（築53年）,"
              900万円            ","
              7.60%            ",,木造,"
      30.21㎡      (29.8万円/㎡)    ","
      74.01㎡      (12.2万円/㎡)    "
129,埼玉県川口市　区分マンション,"
      埼玉県川口市西川口１丁目    ",JR京浜東北・根岸線 西川口駅 徒歩3分,"
      2020年02月（築3年）          ","
              2320万円            ","
              4.34%            ",80戸,RC造,"
      25.38㎡      (91.5万円/㎡)    ", 
130,融資相談可能　西川口駅 徒歩6分,"
      埼玉県川口市並木2丁目    ",JR京浜東北・根岸線 西川口駅 徒歩6分,"
      1988年08月（築35年）          ","
              880万円            ","
              7.22%            ",58戸,SRC造,"
      16.87㎡      (52.2万円/㎡)    ", 
131,埼玉県川口市　区分マンション,"
      埼玉県川口市西青木1    ",JR京浜東北・根岸線 西川口駅 徒歩8分,"
      2008年01月（築15年）          ","
              1540万円            ","
              5.37%            ",36戸,RC造,"
      23.22㎡      (66.4万円/㎡)    ", 
132,サニーコート柿崎,"
      埼玉県さいたま市桜区町谷３丁目    ",JR武蔵野線 西浦和駅 徒歩24分,1989年09月（築34年）,"
              5780万円            ",0,5戸,軽量鉄骨造,"
      115.54㎡      (50.1万円/㎡)    ","
      340.00㎡      (17.0万円/㎡)    "
133,賃貸中！利回り12％以上！八高線・明覚駅！3Kタイプ！,"
      埼玉県比企郡ときがわ町本郷    ",JR八高線 明覚駅 徒歩19分,1980年09月（築43年）,"
              380万円            ","
              12.31%            ",,木造,"
      55.48㎡      (6.9万円/㎡)    ","
      86.46㎡      (4.4万円/㎡)    "
134,東松山駅利用可！8SLDK！角地！飲食店・物販店などに！,"
      埼玉県東松山市小松原町    ",東武東上線 東松山駅 徒歩24分,1986年05月（築37年）,"
              2980万円            ",0,1戸,木造,"
      245.10㎡      (12.2万円/㎡)    ","
      251.57㎡      (11.9万円/㎡)    "
135,志木駅徒歩14家具付学生寮！1億9000万円!利回9.1％！,"
      埼玉県志木市幸町４丁目    ",東武東上線 志木駅 徒歩14分,1993年03月（築30年）,"
              1億9000万円            ","
              9.10%            ",28戸,木造,"
      490.35㎡      (38.8万円/㎡)    ","
      551.02㎡      (34.5万円/㎡)    "
136,シティプラザ大宮三橋,"
      埼玉県さいたま市大宮区三橋１丁目    ",JR京浜東北・根岸線 大宮駅 徒歩24分,"
      1991年12月（築32年）          ","
              380万円            ","
              13.26%            ",20戸,鉄骨造,"
      17.00㎡      (22.4万円/㎡)    ", 
137,エクセレンス三ツ木,"
      埼玉県狭山市東三ツ木5    ",西武新宿線 新狭山駅 徒歩5分,1992年07月（築31年）,"
              4980万円            ","
              7.49%            ",7戸,木造,"
      275.33㎡      (18.1万円/㎡)    ","
      246.13㎡      (20.3万円/㎡)    "
138,マルティーナ,"
      埼玉県入間市大字寺竹571    ",JR八高線 金子駅 徒歩4分,2013年03月（築10年）,"
              5880万円            ","
              7.36%            ",6戸,木造,"
      315.31㎡      (18.7万円/㎡)    ","
      663.79㎡      (8.9万円/㎡)    "
139,■宮原駅　■28㎡の1DK　■バス、トイレ別,"
      埼玉県さいたま市北区宮原町    ",埼玉新都市交通 今羽駅 徒歩9分 他,"
      1992年12月（築31年）          ","
              583万円            ","
              11.52%            ",,RC造,"
      28.16㎡      (20.8万円/㎡)    ", 
140,プレシス浦和常盤ヴィアラ,"
      埼玉県さいたま市浦和区常磐3    ",JR京浜東北・根岸線 北浦和駅 徒歩4分 他,"
      2017年11月（築6年）          ","
              3390万円            ",0,45戸,RC造,"
      35.00㎡      (96.9万円/㎡)    ", 
141,利回り8.22％　東武伊勢崎線・大師線「谷塚」駅徒歩12分,"
      埼玉県草加市瀬崎３丁目    ",東武伊勢崎・大師線 谷塚駅 徒歩12分,1980年07月（築43年）,"
              4000万円            ","
              8.22%            ",6戸,木造,"
      173.09㎡      (23.2万円/㎡)    ","
      144.94㎡      (27.6万円/㎡)    "
142,融資相談可能！　オーナーチェンジ！,"
      埼玉県川口市戸塚3    ",JR武蔵野線 東川口駅 徒歩8分 他,"
      2000年02月（築23年）          ","
              2200万円            ","
              7.63%            ",64戸,RC造,"
      91.51㎡      (24.1万円/㎡)    ", 
143,利回り7.7％　東武野田線「南桜井」駅徒歩10分,"
      埼玉県春日部市西金野井２０８    ",東武野田線 南桜井駅 徒歩10分,1989年02月（築34年）,"
              4980万円            ","
              7.70%            ",8戸,木造,"
      251.00㎡      (19.9万円/㎡)    ","
      251.00㎡      (19.9万円/㎡)    "
144,【利回り11％以上】【東武伊勢崎線・姫宮駅】【5DKタイプ】,"
      埼玉県南埼玉郡宮代町川端    ",東武伊勢崎・大師線 姫宮駅 徒歩11分,1974年08月（築49年）,"
              740万円            ","
              11.02%            ",,木造,"
      99.08㎡      (7.5万円/㎡)    ","
      198.00㎡      (3.8万円/㎡)    "
145,【利回り11％以上】【JR湘南新宿ライン・北鴻巣駅】,"
      埼玉県鴻巣市糠田    ",JR湘南新宿ライン高海 北鴻巣駅 徒歩20分,1981年06月（築42年）,"
              600万円            ","
              11.40%            ",,木造,"
      69.53㎡      (8.7万円/㎡)    ","
      101.03㎡      (6.0万円/㎡)    "
146,賃貸中！利回り13％以上！再建築可能！駐車場付き！男衾駅！,"
      埼玉県大里郡寄居町赤浜    ",東武東上線 男衾駅 徒歩38分,1980年12月（築43年）,"
              320万円            ","
              13.87%            ",,木造,"
      48.43㎡      (6.7万円/㎡)    ","
      122.00㎡      (2.7万円/㎡)    "
147,【敷地250坪！南公道面！】秋津売アパート,"
      東京都清瀬市野塩５丁目    ",西武池袋・豊島線 秋津駅 徒歩10分,1993年01月（築30年）,"
              1億5000万円            ","
              4.72%            ",6戸,木造,"
      484.11㎡      (31.0万円/㎡)    ","
      828.75㎡      (18.1万円/㎡)    "
148,賃貸中！利回り11％以上！東武東上線・武蔵嵐山駅！3K！,"
      埼玉県比企郡嵐山町千手堂    ",東武東上線 武蔵嵐山駅 徒歩15分,1980年06月（築43年）,"
              630万円            ","
              11.04%            ",,木造,"
      61.27㎡      (10.3万円/㎡)    ","
      105.91㎡      (6.0万円/㎡)    "
149,平成23年築！複数路線利用可能！4LDKのファミリータイプ！,"
      埼玉県新座市畑中3丁目    ",東武東上線 朝霞駅 徒歩32分 他,2011年04月（築12年）,"
              2900万円            ","
              5.37%            ",,木造,"
      92.74㎡      (31.3万円/㎡)    ","
      100.79㎡      (28.8万円/㎡)    "
150,狭山市新狭山２丁目一棟ビル,"
      埼玉県狭山市新狭山２丁目    ",西武新宿線 新狭山駅 徒歩3分,1992年04月（築31年）,"
              9800万円            ","
              8.08%            ",4戸,RC造,"
      413.30㎡      (23.8万円/㎡)    ","
      212.07㎡      (46.3万円/㎡)    "
151,キャッスルマンション坂戸,"
      埼玉県坂戸市日の出町１１−９    ",東武東上線 坂戸駅 徒歩6分 他,"
      1988年02月（築35年）          ","
              260万円            ","
              11.07%            ",47戸,SRC造,"
      17.98㎡      (14.5万円/㎡)    ", 
152,空室　土地48.1平米　3DK　春日部市南戸建て,"
      埼玉県春日部市南3丁目    ",東武伊勢崎・大師線 一ノ割駅 徒歩10分 他,1967年03月（築56年）,"
              490万円            ","
              12.24%            ",,木造,"
      33.05㎡      (14.9万円/㎡)    ","
      48.10㎡      (10.2万円/㎡)    "
153,参考路線価約442万円！大宮まで電車12分！,"
      埼玉県さいたま市岩槻区日の出町    ",東武野田線 岩槻駅 徒歩16分,1975年03月（築48年）,"
              398万円            ","
              18.09%            ",,木造,"
      54.34㎡      (7.4万円/㎡)    ","
      76.74㎡      (5.2万円/㎡)    "
